,text
568,noches ubicacion bien
569,ubicacion bien dias
570,antipatico incluso vacilando
571,momento antipatico incluso
572,fraudulento mala atencion
573,hacia clientes sevilla
574,siendo victima robo
575,victima robo comedor
576,hospital barrio humilde
577,frente hospital barrio
578,circuito habitacion sucia
579,puso agencia circuito
580,canerias decepcionante fotos
581,decepcionante fotos internet
582,servicio deficiente desayuno
583,deficiente desayuno bueno
584,instalaciones pagar euros
585,calefaccion pasillos banco
586,habitacion olia humedad
587,sabanas habitaciones bien
588,compartidos general pension
589,pension escondida mal
590,instalaciones ofrecen mobiliario
591,duchabamos supone habitacion
592,horrible habitacion pequena
593,habitacion pequena puerta
594,debido alarma espana
595,alarma espana negado
596,segunda desastre enviaron
597,hicieran habitacion volvimos
598,recepcion encantador limpieza
599,falta limpieza estudio
600,categoria pension limpieza
601,pension limpieza dudosa
602,utilizar google maps
603,google maps exceptuando
604,habitacion funciona aire
605,solucion alguna habitacion
606,recepcion primera planta
607,personal limpieza agradable
608,bien ubicacion wifi
609,ubicacion wifi buena
610,habitaciones caras jacuzzi
611,cucarachas habitacion bano
612,mal cogimos jacuzzi
613,cogimos jacuzzi agua
614,necesita reforma instalaciones
615,habitacion secador roto
616,aire acondicionado verano
617,sin aire acondicionado
618,horrible atencion vamos
619,ir horror llegamos
620,frecuento hostels menudo
621,hostel ido diferencia
622,rendijas ventilacion dia
623,habitaciones salia aire
624,sevilla idea visitar
625,llegamos sevilla intencion
626,boutique reservo habitacion
627,habitacion hostal
628,decepcionado reservado aniversario
629,reservado aniversario dia
630,eurostar centrico obras
631,eurostar centrico
632,vacaciones verano agencia
633,vacaciones paquete dia
634,centrico parking cercano
635,desear centrico parking
636,reservamos habitacion doble
637,decepcionante reservamos habitacion
638,ubicacion pues centrico
639,ubicacion unico
640,habitacion apestaba cloacas
641,hostal habitacion apestaba
642,luego limpieza deficiente
643,limpieza deficiente
644,buena infraestructura ubicacion
645,infraestructura ubicacion buena
646,cuidado reservas booking
647,reservas booking
648,entusiasmo llegar hostel
649,hostels jovenes entusiasmo
650,habitacion privada costaba
651,reservamos habitacion privada
652,nada bueno habitacion
653,habitacion grande escaso
654,hostel viajado alojado
655,hostel 60 habitacion
656,guitarra peor hostal
657,dedicaban tocar guitarra
658,columna huespedes almohadas
659,moviendo cosas
660,instalaciones pagar euros
661,calefaccion pasillos banco
662,habitacion olia humedad
663,sabanas habitaciones bien
664,compartidos general pension
665,pension escondida mal
666,instalaciones ofrecen mobiliario
667,duchabamos supone habitacion
668,horrible habitacion pequena
669,habitacion pequena puerta
670,empleadas limpian musica
